ClienteID,Nombre,Apellido,email,NúmeroIdentidad,Teléfono,FechaNacimiento,TarjetaCredito
1,Ema,Espine,eespine0@de.vu,136691591-7,505-821-5536,7/23/1998,3.53821E+15
2,Aileen,Cissell,acissell1@webnode.com,924683794-0,421-862-6029,5/27/1992,3.03822E+13
3,Joella,Miquelet,jmiquelet2@skype.com,441901707-4,526-434-4995,04/04/1981,5.36641E+15
4,Orton,Lavers,olavers3@about.me,603622000-6,785-421-3186,9/13/1983,3.55825E+15
5,Onida,Van Arsdale,ovanarsdale4@tripod.com,480691491-6,812-989-6184,10/10/1985,6.33354E+15
6,Cosimo,Aingell,caingell5@examiner.com,275098353-3,889-958-5192,11/26/1983,3.54371E+15
7,Phil,Skydall,pskydall6@wired.com,338119698-7,994-816-0330,4/23/1983,3.58162E+15
8,Alex,Trumper,atrumper7@reuters.com,235112992-X,665-615-0818,9/16/1989,6.3332E+17
9,Althea,Coomer,acoomer8@google.fr,620189200-1,188-584-5177,04/12/1982,2.01628E+14
10,Theodora,McGruar,tmcgruar9@1und1.de,311754551-4,855-950-4970,6/30/1982,4.2509E+12
11,De witt,Prosch,dproscha@posterous.com,623196144-3,609-217-2350,12/08/1998,6.76745E+18
12,Byrle,Vasechkin,bvasechkinb@wunderground.com,608130517-1,706-440-0361,08/03/1993,3.56146E+15
13,Elissa,Hutfield,ehutfieldc@freewebs.com,344804500-4,779-724-5088,11/26/1997,5.60222E+15
14,Micky,Stables,mstablesd@kickstarter.com,419326041-0,310-364-7734,3/16/1988,5.00235E+15
15,Johann,Dow,jdowe@berkeley.edu,402698058-8,263-799-9890,11/01/1989,4.8441E+15
16,Doroteya,Mattheus,dmattheusf@wikispaces.com,685199593-X,534-773-6627,05/09/1989,3.53043E+15
17,Frederic,Catlette,fcatletteg@hugedomains.com,979852934-0,354-356-0499,6/24/1980,5.01867E+17
18,Ofilia,MacGiany,omacgianyh@bing.com,155685196-0,142-424-8822,10/10/1984,3.56397E+15
19,Saundra,Lowry,slowryi@home.pl,013180526-6,915-999-8470,12/27/1983,3.0192E+13
20,Caprice,Gleave,cgleavej@sourceforge.net,424543682-4,579-441-9324,2/25/2000,3.55842E+15
21,Betteann,Vinsen,bvinsenk@fastcompany.com,804527770-X,231-372-1489,8/23/1993,3.52994E+15
22,Camila,Gregine,cgreginel@nbcnews.com,195419635-0,866-890-0791,01/10/1981,4.175E+15
